PriceUpdateDate,ItemCode,ItemName,ManufacturerName,ManufactureCountry,ManufacturerItemDescription,UnitQty,Quantity,UnitOfMeasure,blsWeighted,QtyInPackage,ItemPrice,UnitOfMeasurePrice,AllowDiscount,ItemStatus
2025-05-07,7290013756541,אלטמן 500 מג אסטר C,אלטמן,,חורף אסטר C,,60.00,0.00,0,1.00,102.90,1.71,1,0
2025-08-15,7290108354836,קרמה קרם ידיים מרוכז בישום עדין 50 מל,General,ישראל,קרם ידיים מרוכז בישום עדין,,100.00,0.00,0,1.00,15.90,0.15,1,0
2025-08-15,8718951689879,קולגייט טוטאל משחת שיניים אוריגינל 75 מל,שסטוביץ,פולין,משחת שיניים טוטאל אוריג'ינל,מיליליטר,75.00,"100 מ""ל",0,1.00,11.90,0.00,1,0
2025-04-07,3504105030629,מוסטלה סטלטופיה שמפו קצף טיפולי לעור יבש,ניאופארם,צרפת,סטלטופיה שמפו קצף טיפולי לעור יבש במיוחד,מיליליטר,150.00,"100 מ""ל",0,1.00,80.90,0.00,1,0
2025-04-29,7290018365687,טינק שום שחור 60 כמוסות,טינק,ישראל,שום שחור,,60.00,0.00,0,1.00,149.90,2.49,1,0
2025-08-11,7290019766087,פראוד חטיף חלבון בטעם דאבל שוקולד,מדיטרנד,הולנד,חטיף חלבון בטעם דאבל שוקולד,גרם,50.00,100 גרם,0,1.00,14.90,0.00,1,0
2025-04-29,693493041317,קטגורי 5 אליוויום תערובת פוליפנולים ופלב,קטגורי 5,ישראל,אליוויום תערובת פוליפנולים ופלבנואידים ייחודית,,90.00,0.00,0,1.00,279.90,3.11,1,0
2025-04-24,7290111095412,דר עור יאנג סבון פחם פילינג לנערות,ניאופארם,ישראל,YOUNG סבון פחם פילינג לניקוי פנים לעור מעורב עד שמן,מיליליטר,150.00,"100 מ""ל",0,1.00,59.90,0.00,1,0
2025-06-01,27131833055,קרם דיי וור לעור רגיל או מעורב 30 מל,General,בריטניה,DAY WEAR תחליב לחות לעור רגיל/מעורב עם מקדם הגנה SPF15,מיליליטר,30.00,"100 מ""ל",0,1.00,202.00,0.06,1,0
2025-04-09,8700216178198,ונוס מעצב שיער לאיזורים אינטימיים,דיפלומט,סין,מעצב שיער לאזורים אינטימיים,,0.00,0.00,0,1.00,178.90,178.90,1,0
2025-04-29,7290017242279,סופהרב מולטי ויטמין לנשים בהריון גומי לע,אמברוזיה/סולגר,ישראל,Tab In Gum מולטי ויטמין לנשים בהריון טבליות בציפוי גומי לעיסה,,30.00,0.00,0,1.00,97.90,3.26,1,0
